no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1926,1926,신비 아이스크림 가게 ,김원아 글 ;김무연 그림,김영사,2021,9788934989585,73810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26866/45/cover/8934989580_1.jpg,https://data4library.kr/bookV?seq=5954443,662
1927,1926,팡이의 눈물 사용법 :배현주 그림책 ,배현주 글·그림,책읽는곰,2022,9791158363086,77810.0,85.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28928/46/cover/k632836214_1.jpg,https://data4library.kr/bookV?seq=6406486,662
1928,1926,스타벅스 일기 :권남희 산문 ,지은이: 권남희,한겨레엔 ,2023,9791160407204,3810.0,,818.0,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/32961/6/cover/k552936258_1.jpg,https://data4library.kr/bookV?seq=6798613,662
1929,1929,친구의 전설 :이지은 그림책 ,글·그림: 이지은,웅진씽크빅,2023,9788901277158,74800.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32929/42/cover/8901277158_1.jpg,https://data4library.kr/bookV?seq=6796228,661
1930,1929,두근두근 발표회,윤지연 글;이채원 그림,,2016,9788927187189,74810.0,27.0,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264856,661
1931,1929,치카치카 군단과 충치 왕국 ,글·그림: 이진경,상상박스,2011,9788995640654,74080.0,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/064/418/06441823.jpg?type=m1&udate=20180103,https://data4library.kr/bookV?seq=2372495,661
1932,1929,유리탑의 살인 ,치넨 미키토 지음 ;김은모 옮김,디앤씨미디어,2022,9791197708565,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/29691/99/cover/k602838587_1.jpg,https://data4library.kr/bookV?seq=6491594,661
1933,1933,홍길동 ,글: 정현수 ;그림: 김홍모,그레이트kids(그레이트키즈),2016,9788927186335,74810.0,58.0,813.5,문학 > 한국문학 > 소설,,https://data4library.kr/bookV?seq=3141263,660
1934,1933,행복한 여섯 살,황혜경 글;정미예 그림,,2016,9788927187059,74810.0,14.0,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264901,660
1935,1933,우주 관람차 :김성미 그림책 ,김성미,책읽는곰,2021,9791158362485,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27310/89/cover/k052732121_1.jpg,https://data4library.kr/bookV?seq=6001294,660
1936,1933,맛있는 숲의 레몬 ,사토 메구미 지음 ;황진희 옮김,올리,2021,9791190931472,77830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/27217/88/cover/k872732292_1.jpg,https://data4library.kr/bookV?seq=5987452,660
1937,1937,드래곤 라자 =이영도 판타지 장편소설.Dragon raja ,이영도,황금가지,2008,9788960172593,4810.0,2.0,813.6,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/280/99/cover/8960172596_1.jpg,https://data4library.kr/bookV?seq=2445257,659
1938,1937,알밤 소풍 ,글·그림: 김지안,재능교육,2017,9788974990466,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/11987/45/cover/8974990466_1.jpg,https://data4library.kr/bookV?seq=3648647,659
