no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1549,1545,회색 인간 ,지은이: 김동식,요다,2017,9791196222628,04810,1,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/130/093/13009319.jpg?type=m1&udate=20180307,https://data4library.kr/bookV?seq=3680366,764
1550,1550,엄마가 100명이라면,강은경 글;염혜원 그림,,2016,9788927187165,74810,25,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264895,763
1551,1550,버럭 할머니와 달평 씨 :신민재 그림책 ,신민재,책읽는곰,2025,9791158365370,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36471/5/cover200/k562039911_1.jpg,https://data4library.kr/bookV?seq=7067151,763
1552,1552,쿵푸 아니고 똥푸 ,차영아 글 ;한지선 그림,문학동네,2017,9788954644310,73810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/10215/48/cover/8944310734_1.jpg,https://data4library.kr/bookV?seq=3412779,762
1553,1552,말하고 싶은 비밀 ,사쿠라 이이요 지음 ;김윤경 옮김,모모,2023,9791193358245,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/32966/94/cover/k432936257_1.jpg,https://data4library.kr/bookV?seq=6799081,762
1554,1554,싫어 몰라 안 돼!,류혜인 글;이주윤 그림,,2016,9788927187301,74810,39,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264840,761
1555,1555,달팽이 학교 =Snail school ,시: 이정록 ;번역: 안선재,풀과바람,2017,9788983897114,77810,,811.8,문학 > 한국문학 > 시,https://bookthumb-phinf.pstatic.net/cover/122/578/12257862.jpg?type=m1&udate=20170817,https://data4library.kr/bookV?seq=3494705,760
1556,1555,급식왕 go,원작: 급식왕 ;그림: 구은미,샌드박스네트워크,2022,9791197808210,74810,7,810,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/30034/63/cover/k982839260_1.jpg,https://data4library.kr/bookV?seq=6550339,760
1557,1557,달샤베트 ,백희나 [저],StoryBowl(스토리보울),2010,9788996478201,73810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/063/408/06340890.jpg?type=m1&udate=20140615,https://data4library.kr/bookV?seq=2371762,759
1558,1557,작은 빛을 따라서 :권여름 장편소설 ,지은이: 권여름,자이언트북스,2023,9791191824308,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32728/31/cover/k172936972_1.jpg,https://data4library.kr/bookV?seq=6778746,759
1559,1559,이상한 초대장,박현숙 글 ;국민지 그림,김영사,2021,9788934909873,73810,1,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28033/42/cover/8934909870_1.jpg,https://data4library.kr/bookV?seq=5822457,758
1560,1560,구름빵 : 엄마의 립스틱,GIMC|DPS,한솔수북,2011,9788953581180,74800,1,813.8,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/066/435/06643571.jpg?type=m1&udate=20170906,https://data4library.kr/bookV?seq=2373878,757
1561,1561,그렇게 그렇게 ,요시타케 신스케 글·그림 ;양지연 옮김,김영사,2021,9788934990338,77830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/27373/93/cover/8934990333_1.jpg,https://data4library.kr/bookV?seq=6034058,756
1562,1562,번개 열매 :이덕화 그림책 ,글·그림: 이덕화,웅진씽크빅,2023,9788901274218,74810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32311/93/cover/8901274213_1.jpg,https://data4library.kr/bookV?seq=6751826,755
1563,1562,하늘 높이 핫케이크 ,종종 글·그림,그린북,2023,9788955884265,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30726/80/cover/8955884265_1.jpg,https://data4library.kr/bookV?seq=6613059,755
1564,1562,(설민석의) 우리 고전 대모험,"글: 설민석,그림: 강신영",Dankkum i(단꿈아이),2024,9791193031445,74810,4,813.5,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35240/95/cover200/k502934941_1.jpg,https://data4library.kr/bookV?seq=6976878,755
1565,1565,목요일 살인 클럽 ,리처드 오스먼 지음 ;공보경 옮김,살림(살림출판사),2021,9788952243393,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/28556/40/cover/8952243390_1.jpg,https://data4library.kr/bookV?seq=6378292,754
1566,1565,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,9791130666310,74810,8,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36486/78/cover200/k752039014_2.jpg,https://data4library.kr/bookV?seq=7068126,754
1567,1567,아빠가 달려갈게! ,김영진 글·그림,길벗어린이,2017,9788955823905,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/10649/39/cover/8955823908_1.jpg,https://data4library.kr/bookV?seq=3425994,753
1568,1567,끼인 날 ,김고은 글·그림,천개의바람,2021,9791165731373,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26854/71/cover/k842730599_1.jpg,https://data4library.kr/bookV?seq=5953837,753
1569,1567,삐약이 엄마 ,지은이: 백희나,책읽는곰,2014,9791185564227,77810,25,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/5011/43/cover/1185564225_1.jpg,https://data4library.kr/bookV?seq=2649333,753
1570,1570,급식왕 go,원작: 급식왕 ;그림: 구은미,북이십일,2020,9788950992187,74810,4,810,문학 > 한국문학 > 한국문학,https://image.aladin.co.kr/product/27925/4/cover/8950992183_1.jpg,https://data4library.kr/bookV?seq=6290840,752
1571,1570,실수 왕 도시오 ,이와이 도시오 글·그림 ;김숙 옮김,북뱅크,2017,9788966350643,77830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/10505/78/cover/896635064x_1.jpg,https://data4library.kr/bookV?seq=3421423,752
1572,1570,코딱지 할아버지 ,신순재 글 ;이명애 그림,책읽는곰,2019,9791158361587,77810,63,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/21891/12/cover/k892636409_1.jpg,https://data4library.kr/bookV?seq=5534393,752
1573,1570,내가 원하는 것을 나도 모를 때 :잃어버린 나를 찾는 인생의 문장들 ,전승환 지음,책읽어주는남자,2025,9791193937150,03190,,818,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/35498/15/cover200/k402035651_1.jpg,https://data4library.kr/bookV?seq=6996289,752
1574,1574,비행기가 부웅부웅 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2017,9791158360511,77830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/124/812/12481274.jpg?type=m1&udate=20170923,https://data4library.kr/bookV?seq=3540997,751
1575,1574,(설민석의) 우리 고전 대모험,"글: 설민석,그림: 강신영",Dankkum i(단꿈아이),2024,9791193031704,74810,5,813.5,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35791/89/cover200/k582036351_1.jpg,https://data4library.kr/bookV?seq=7014346,751
1576,1574,수줍은 괴물 조르지오 ,다비드 칼리 글 ;김여진 옮김,노는날,2024,9791198833204,77880,,883,문학 > 이탈리아문학 > 소설,https://image.aladin.co.kr/product/34294/41/cover200/k562932272_1.jpg,https://data4library.kr/bookV?seq=6905968,751
1577,1577,나랑 같이 놀자,신미경 글;주성희 그림,,2016,9788927187318,74810,40,808.9,"문학 > 문학 > 전집, 총서",,https://data4library.kr/bookV?seq=3264841,750
